,label,PCA_feature_2,PCA_feature_129,PCA_feature_167
79,0.0,5.3783592816751185,-6.591949208711867e-16,-2.345129299086146e-16
80,0.0,0.568335698364512,2.0122792321330962e-16,3.469446951953614e-17
81,0.0,0.1996431312228265,-4.336808689942018e-17,-6.938893903907228e-18
82,0.0,2.674848156120001,-1.3530843112619095e-16,-1.3877787807814457e-17
83,0.0,-0.5465851591364761,9.71445146547012e-17,-1.5265566588595902e-16
85,0.0,-1.8026959435018952,3.0010716134398763e-16,-5.724587470723463e-17
87,0.0,6.3155233797790284,-4.926614671774132e-16,-5.134781488891349e-16
88,0.0,1.3970700754305887,2.706168622523819e-16,1.2836953722228372e-16
91,0.0,4.552557059534963,8.196568423990414e-17,-1.0755285551056204e-16
92,0.0,-1.0466926119436069,9.020562075079397e-17,8.326672684688674e-17
93,0.0,-1.574684556163503,3.608224830031759e-16,-7.632783294297951e-17
95,0.0,2.504080331209111,-2.706168622523819e-16,-3.0184188481996443e-16
96,0.0,-0.768419052170008,1.214306433183765e-16,-2.42861286636753e-17
97,0.0,-1.3912166019187195,-1.061650767297806e-15,1.942890293094024e-16
98,0.0,-3.610441544406949,4.996003610813204e-16,1.1449174941446927e-16
99,0.0,4.238926173017748,-1.4224732503009818e-16,6.938893903907228e-18
100,0.0,-0.04903897460306157,-4.683753385137379e-17,-2.3592239273284576e-16
101,0.0,0.5639018827523223,-5.204170427930421e-18,1.734723475976807e-16
102,0.0,4.660011804984351,-2.1510571102112408e-16,-7.077671781985373e-16
103,0.0,2.52113668864295,2.740863092043355e-16,-1.249000902703301e-16
104,0.0,-0.4592300087024288,-1.196959198423997e-16,2.0816681711721685e-17
105,0.0,1.3647682416264995,3.400058012914542e-16,-5.095750210681871e-17
107,0.0,0.9152348611389073,-3.8163916471489756e-17,1.9949319973733282e-16
108,0.0,-1.580252990062066,-1.1796119636642288e-16,2.706168622523819e-16
109,0.0,0.4874969255901096,2.949029909160572e-16,5.898059818321144e-17
