,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Mean_PCA_Relief_13_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6450,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_13_LR,672,336,336,0.8114,[0.7790-0.8438],0.0165,0.7990,0.4382,0.5025,0.7440,0.4881,0.8631,0.6250,0.6971,0.8203
Mean_PCA_Relief_13_LRLasso,672,336,336,0.8017,[0.7687-0.8346],0.0168,0.7947,0.5317,0.4738,0.7366,0.4732,0.7113,0.7619,0.7492,0.7252
Mean_PCA_Relief_13_AB,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.5091,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_13_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_13_GP,672,336,336,0.9404,[0.9239-0.9570],0.0084,0.9336,0.4821,0.7518,0.8720,0.7440,0.9435,0.8006,0.8255,0.9340
Mean_PCA_Relief_13_NB,672,336,336,0.8396,[0.8100-0.8693],0.0151,0.8359,0.6912,0.5501,0.7738,0.5476,0.7262,0.8214,0.8026,0.7500
Mean_PCA_Relief_14_SVM,672,336,336,0.8188,[0.7868-0.8508],0.0163,0.7993,0.5207,0.5123,0.7560,0.5119,0.7351,0.7768,0.7671,0.7457
Mean_PCA_Relief_14_LDA,672,336,336,0.8154,[0.7835-0.8474],0.0163,0.8039,0.4474,0.5160,0.7515,0.5030,0.8631,0.6399,0.7056,0.8238
Mean_PCA_Relief_14_AE,672,336,336,0.5749,[0.5313-0.6184],0.0222,0.5695,0.5903,0.2756,0.6101,0.2202,0.9107,0.3095,0.5688,0.7761
Mean_PCA_Relief_14_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6600,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_14_LR,672,336,336,0.8123,[0.7800-0.8445],0.0164,0.8012,0.4184,0.5014,0.7426,0.4851,0.8690,0.6161,0.6936,0.8247
Mean_PCA_Relief_14_LRLasso,672,336,336,0.8021,[0.7692-0.8350],0.0168,0.7958,0.5603,0.4743,0.7351,0.4702,0.6696,0.8006,0.7705,0.7079
Mean_PCA_Relief_14_AB,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.5052,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_14_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_14_GP,672,336,336,0.9446,[0.9289-0.9602],0.0080,0.9396,0.5006,0.7566,0.8765,0.7530,0.9256,0.8274,0.8428,0.9175
Mean_PCA_Relief_14_NB,672,336,336,0.8416,[0.8121-0.8712],0.0151,0.8370,0.7503,0.5718,0.7827,0.5655,0.7083,0.8571,0.8322,0.7461
Mean_PCA_Relief_15_SVM,672,336,336,0.8191,[0.7872-0.8511],0.0163,0.8020,0.4936,0.5367,0.7664,0.5327,0.8274,0.7054,0.7374,0.8034
Mean_PCA_Relief_15_LDA,672,336,336,0.8195,[0.7880-0.8510],0.0161,0.8166,0.4416,0.5404,0.7634,0.5268,0.8750,0.6518,0.7153,0.8391
Mean_PCA_Relief_15_AE,672,336,336,0.7293,[0.6914-0.7672],0.0193,0.6930,0.4879,0.4330,0.6875,0.3750,0.9375,0.4375,0.6250,0.8750
Mean_PCA_Relief_15_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6600,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_15_LR,672,336,336,0.8144,[0.7824-0.8465],0.0163,0.8052,0.4378,0.5255,0.7560,0.5119,0.8690,0.6429,0.7087,0.8308
Mean_PCA_Relief_15_LRLasso,672,336,336,0.8055,[0.7729-0.8381],0.0166,0.7997,0.5529,0.4736,0.7351,0.4702,0.6756,0.7946,0.7669,0.7101
Mean_PCA_Relief_15_AB,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.5114,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_15_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_15_GP,672,336,336,0.9690,[0.9576-0.9803],0.0058,0.9634,0.5011,0.8399,0.9182,0.8363,0.9643,0.8720,0.8828,0.9607
Mean_PCA_Relief_15_NB,672,336,336,0.8507,[0.8220-0.8794],0.0146,0.8472,0.7363,0.5774,0.7857,0.5714,0.7143,0.8571,0.8333,0.7500
Mean_PCA_Relief_16_SVM,672,336,336,0.8666,[0.8380-0.8951],0.0146,0.8493,0.4587,0.6233,0.8080,0.6161,0.8839,0.7321,0.7674,0.8632
Mean_PCA_Relief_16_LDA,672,336,336,0.8677,[0.8403-0.8952],0.0140,0.8684,0.5587,0.6015,0.8006,0.6012,0.7857,0.8155,0.8098,0.7919
Mean_PCA_Relief_16_AE,672,336,336,0.7955,[0.7615-0.8294],0.0173,0.7732,0.4349,0.5252,0.7470,0.4940,0.9167,0.5774,0.6844,0.8739
Mean_PCA_Relief_16_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6800,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_16_LR,672,336,336,0.8605,[0.8321-0.8889],0.0145,0.8574,0.4655,0.5970,0.7946,0.5893,0.8750,0.7143,0.7538,0.8511
Mean_PCA_Relief_16_LRLasso,672,336,336,0.8544,[0.8254-0.8833],0.0148,0.8506,0.5319,0.5956,0.7976,0.5952,0.8155,0.7798,0.7874,0.8086
Mean_PCA_Relief_16_AB,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.5172,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_16_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_16_GP,672,336,336,0.9822,[0.9739-0.9905],0.0042,0.9788,0.5187,0.8910,0.9449,0.8899,0.9702,0.9196,0.9235,0.9687
Mean_PCA_Relief_16_NB,672,336,336,0.8819,[0.8566-0.9071],0.0129,0.8772,0.7540,0.6287,0.8110,0.6220,0.7381,0.8839,0.8641,0.7714
Mean_PCA_Relief_17_SVM,672,336,336,0.8668,[0.8383-0.8953],0.0145,0.8492,0.4735,0.6139,0.8051,0.6101,0.8601,0.7500,0.7748,0.8428
Mean_PCA_Relief_17_LDA,672,336,336,0.8707,[0.8436-0.8977],0.0138,0.8696,0.5821,0.6118,0.8051,0.6101,0.7679,0.8423,0.8296,0.7839
Mean_PCA_Relief_17_AE,672,336,336,0.7920,[0.7583-0.8256],0.0172,0.7685,0.5271,0.4677,0.7247,0.4494,0.8631,0.5863,0.6760,0.8107
Mean_PCA_Relief_17_RF,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.6750,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_17_LR,672,336,336,0.8636,[0.8355-0.8916],0.0143,0.8576,0.4750,0.6042,0.7991,0.5982,0.8690,0.7292,0.7624,0.8478
Mean_PCA_Relief_17_LRLasso,672,336,336,0.8570,[0.8283-0.8857],0.0147,0.8497,0.5309,0.6169,0.8080,0.6161,0.8333,0.7827,0.7932,0.8245
Mean_PCA_Relief_17_AB,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,0.5141,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_17_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_Relief_17_GP,672,336,336,0.9838,[0.9760-0.9916],0.0040,0.9809,0.5131,0.8970,0.9479,0.8958,0.9732,0.9226,0.9263,0.9718
Mean_PCA_Relief_17_NB,672,336,336,0.8927,[0.8684-0.9170],0.0124,0.8851,0.6152,0.6438,0.8214,0.6429,0.7946,0.8482,0.8396,0.8051
