,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Mean_PCA_RFE_5_SVM,127,43,84,0.8743,[0.8136-0.9350],0.0310,0.7232,0.4469,0.5755,0.7953,0.5997,0.8140,0.7857,0.6604,0.8919
Mean_PCA_RFE_5_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_6_SVM,127,43,84,0.8887,[0.8327-0.9447],0.0286,0.7542,0.3859,0.6347,0.8110,0.6689,0.9070,0.7619,0.6610,0.9412
Mean_PCA_RFE_6_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_7_SVM,127,43,84,0.8887,[0.8327-0.9447],0.0286,0.7542,0.3859,0.6347,0.8110,0.6689,0.9070,0.7619,0.6610,0.9412
Mean_PCA_RFE_7_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_8_SVM,127,43,84,0.9073,[0.8576-0.9569],0.0253,0.7656,0.4425,0.6901,0.8504,0.7171,0.8837,0.8333,0.7308,0.9333
Mean_PCA_RFE_8_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_RFE_9_SVM,127,43,84,0.9111,[0.8631-0.9592],0.0245,0.8096,0.3508,0.6655,0.8110,0.7029,0.9767,0.7262,0.6462,0.9839
Mean_PCA_RFE_9_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
