,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Mean_PCA_KW_6_SVM,168,84,84,0.8639,[0.8071-0.9208],0.0290,0.7895,0.4651,0.6206,0.8095,0.6190,0.8452,0.7738,0.7889,0.8333
Mean_PCA_KW_6_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_KW_7_SVM,168,84,84,0.8639,[0.8071-0.9208],0.0290,0.7895,0.4651,0.6206,0.8095,0.6190,0.8452,0.7738,0.7889,0.8333
Mean_PCA_KW_7_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_KW_8_SVM,168,84,84,0.8639,[0.8071-0.9208],0.0290,0.7895,0.4651,0.6206,0.8095,0.6190,0.8452,0.7738,0.7889,0.8333
Mean_PCA_KW_8_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_KW_9_SVM,168,84,84,0.8893,[0.8395-0.9392],0.0254,0.8590,0.6436,0.6364,0.8155,0.6310,0.7500,0.8810,0.8630,0.7789
Mean_PCA_KW_9_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Mean_PCA_KW_10_SVM,168,84,84,0.8893,[0.8395-0.9392],0.0254,0.8590,0.6436,0.6364,0.8155,0.6310,0.7500,0.8810,0.8630,0.7789
Mean_PCA_KW_10_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
