,label,PCA_feature_110,PCA_feature_124,PCA_feature_114,PCA_feature_18
43,1.0,0.05606695936093087,0.009908455291573415,-4.026722535011018e-05,-3.5641688352437875
43,1.0,0.05606695936093109,0.00990845529157347,-4.026722535066529e-05,-3.564168835243787
43,0.0,0.5106195991387429,-0.24322087126498004,0.03843851367306893,4.461918511304799
45,1.0,-0.3668494595690226,0.04777210094840201,-0.5805824115621223,-0.21159727548656898
46,0.0,-0.11825604136974649,0.010525359057296485,-0.18218758967160842,1.8704265691652568
47,0.0,0.0545508587378776,-0.03240256954639203,-0.4936500477875777,-0.33938052528980656
49,0.0,0.05156775616262292,0.028449343749535005,-0.0893046143121965,-1.631602814294626
50,1.0,0.05541613171457857,0.018121155782308704,-0.24407116169648102,2.56885499077767
50,0.0,0.515600233664385,-0.23594252807648536,-0.4991108283422546,-4.070282305915688
51,1.0,0.2617878982556966,-0.01343954496153843,-0.5280087217718735,-0.4671015754571811
51,1.0,0.26178789825569676,-0.013439544961538652,-0.5280087217718733,-0.4671015754571809
51,0.0,-0.01770773247608043,0.11722463925228836,-0.13458385474647655,3.169869306965737
52,0.0,0.004263392329526494,-0.07738951064952218,0.08835942530883623,1.0652970693943207
53,1.0,0.006005339834474599,-0.0028022342054604688,0.0008861003753797281,-0.5606259817507571
53,1.0,0.006005339834474599,-0.0028022342054604688,0.0008861003753797281,-0.5606259817507571
53,0.0,0.07807216849101825,0.08057758180394836,0.1629074522151102,-0.19273182957466767
54,1.0,0.537532690183429,0.22683609067318924,-0.1472206751859403,0.030051811782440027
54,0.0,-0.08957246349108806,-0.06556134838463477,-0.029380532929356388,0.31645827782964325
54,1.0,0.5375326901834292,0.2268360906731893,-0.14722067518594012,0.03005181178244075
55,1.0,-0.29652135403597535,-0.06280503532393807,0.03445232238732333,-1.0060810399941273
55,0.0,0.08206011543621278,0.301807579058771,-0.10240692364111662,0.7177228258623297
55,1.0,-0.29652135403597535,-0.06280503532393807,0.03445232238732333,-1.0060810399941273
56,1.0,0.037318841360953155,-0.01388143365090942,0.014474231378805297,-0.26204874638603437
56,1.0,0.037318841360953155,-0.01388143365090942,0.014474231378805297,-0.26204874638603437
56,1.0,0.037318841360953155,-0.01388143365090942,0.014474231378805297,-0.26204874638603437
56,1.0,0.037318841360953155,-0.01388143365090942,0.014474231378805297,-0.26204874638603437
56,0.0,0.18319342419494467,-0.17425517491887993,-0.2760890428365623,-4.354389855569722
57,1.0,-0.5788856014869346,-0.17365576196237925,0.650737510047886,-1.7034745357059482
58,0.0,0.04524062458311484,-0.162157937616712,0.0650097207783652,2.8411811575797614
59,1.0,-0.05444212530138656,-0.02054971346454626,0.05664021652371609,2.78223789940897
61,0.0,-0.036699786488434555,0.012942975745082852,-0.16883864664538747,-0.027024528927912378
62,0.0,-0.049567184801588574,0.08886891015400669,-0.3136982561372556,1.4437184733652264
62,1.0,-0.22058665230380944,0.14830717042283575,-0.10332024930282627,0.1585781379158151
63,0.0,-0.19602646308120064,0.12847484530339076,0.24397012229749515,-0.8981879682574831
65,0.0,-0.08022489540530969,0.023718522871155112,0.20349319410105426,-3.431061438961853
67,0.0,-0.1315615094655821,-0.24293434749242526,0.3377599278126484,0.47298217676063686
68,0.0,-0.09117869024499554,-0.10979655532491372,0.041280796888486515,-2.774788253212124
74,0.0,-0.026145702532491433,0.017194682415321655,0.2162063667687798,3.193482681833092
76,0.0,0.18418414981247072,0.010311745290060736,-0.17193771836525862,-2.6648502814720665
77,0.0,0.2974872598379069,0.004295066842026296,0.013377499721066916,-1.8874207488099357
78,0.0,-0.6449873103988597,0.07687632879701642,-0.20059095968936677,-2.426940823756006
79,0.0,-0.041640240751848745,0.0334470146208844,0.05489691190468926,3.752196856054992
80,0.0,0.5105156424891334,-0.2874706536541207,-0.3891254415753435,-2.557992537360884
81,0.0,0.2364719609145293,-0.13981808258623027,0.37011490428019356,1.1793145425533016
82,0.0,-0.08280046497413085,-0.0792988797979422,0.07799977678643749,-3.7346320062195657
83,0.0,0.15875955307612633,-0.04776488516179678,0.0061596900632683305,7.681580728605341
85,0.0,0.286956220700453,0.29865768833575973,-0.20256420015559887,0.49095792475668487
